,Project,Treatment,Gene Expression
1,1,MP Only,334.5
2,2,MP Only,31.6
3,3,MP Only,701
4,4,MP Only,41.2
5,5,MP Only,61.2
6,6,MP Only,69.6
7,7,MP Only,67.5
8,8,MP Only,66.6
9,9,MP Only,120.7
10,10,MP Only,881.9
11,1,MP + HDMTX,919.4
12,2,MP + HDMTX,404.2
13,3,MP + HDMTX,1024.8
14,4,MP + HDMTX,54.1
15,5,MP + HDMTX,62.8
16,6,MP + HDMTX,671.6
17,7,MP + HDMTX,882.1
18,8,MP + HDMTX,354.2
19,9,MP + HDMTX,321.9
20,10,MP + HDMTX,91.1
21,1,MP + LDMTX,108.4
22,2,MP + LDMTX,26.1
23,3,MP + LDMTX,240.8
24,4,MP + LDMTX,191.1
25,5,MP + LDMTX,69.7
26,6,MP + LDMTX,242.8
27,7,MP + LDMTX,62.7
28,8,MP + LDMTX,396.9
29,9,MP + LDMTX,23.6
30,10,MP + LDMTX,290.4
