"br","bc","moment1","moment2","reml","blocks5","reml2"
1,1,0.968615962370472,0.933629863038046,2.07,1.7196,1.7
1,2,0.994146641851764,0.986429838450787,1.89,1.6378,1.62
1,3,0.979128165391526,0.951381414043578,1.93,1.6708,1.59
10,1,0.988690502778478,0.975027185721022,1.96,1.6593,1.53
10,2,0.978205334041752,0.94359379618683,2.04,1.6949,1.75
10,3,0.987339181907064,0.965957633896493,2.15,1.7241,1.67
11,1,0.9796831422463,0.952525216823255,2.11,1.712,1.69
11,2,0.988310576000619,0.971363830917914,1.83,1.6919,1.58
11,3,0.983797048445879,0.968809746965366,2.12,1.7177,1.65
12,1,0.991794755619249,0.976198469105417,1.85,1.6858,1.68
12,2,0.984920327304709,0.963581665547601,2.09,1.7204,1.6
12,3,0.986120101974247,0.967244108032517,1.94,1.6596,1.45
13,1,0.987906564464966,0.973416477179547,2.02,1.717,1.71
13,2,0.986252133289342,0.969312362130121,1.87,1.6819,1.51
13,3,0.980568369399715,0.956814238671222,2,1.6755,1.52
14,1,0.986685022693104,0.9710573916422,1.96,1.7055,1.88
14,2,0.984272352944779,0.966791990238809,1.85,1.5706,1.89
14,3,0.986065585401679,0.963929343111951,1.8,1.6494,1.83
15,1,0.951896083475359,0.913475348853374,2.15,1.7008,1.54
15,2,0.989342879167593,0.974057412202517,1.59,1.6237,1.76
15,3,0.977151089756724,0.944380352135603,1.71,1.6575,1.56
16,1,0.984351618666112,0.955964285466189,2.09,1.7413,1.68
16,2,0.999008702842026,0.990659090981393,1.92,1.744,1.81
16,3,0.988423560271963,0.966003616926021,1.99,1.6966,1.66
17,1,0.962750717413239,0.915268007946805,1.98,1.7269,1.64
17,2,0.974246922964387,0.923296506316831,1.95,1.723,1.83
17,3,0.947108639274356,0.87364064913731,1.79,1.6475,1.79
18,1,1.00203597824814,0.998277868241506,1.78,1.6956,1.84
18,2,0.977375179481041,0.953734726048102,1.58,1.6265,1.82
18,3,0.986174081571003,0.968845253160738,1.79,1.7021,1.81
19,1,0.981554729974498,0.950822113716121,1.86,1.7003,1.73
19,2,0.988130276650251,0.965933104326958,2.25,1.6446,1.63
19,3,0.990842036906,0.980974605229595,1.82,1.623,1.66
2,1,0.986884356811415,0.958115646531749,2.15,1.7014,1.7
2,2,0.986670777340977,0.965437235264549,2.15,1.7314,1.79
2,3,0.978615423945357,0.950273340504218,1.99,1.6885,1.57
20,1,0.99545892516225,0.9859459628441,2.32,1.698,1.56
20,2,0.999664559971052,0.99298442283534,1.95,1.6587,1.63
20,3,0.984541589098623,0.963685985985521,1.87,1.6759,1.71
21,1,0.982188463492901,0.952554110533981,1.82,1.6824,1.81
21,2,0.995486592497828,0.988674676909463,1.81,1.6036,1.73
22,1,0.990620312299164,0.973566271221706,1.76,1.6628,1.82
22,2,0.988847461482657,0.967071576031189,1.97,1.7173,1.73
23,1,0.947256318063578,0.881053214413862,1.95,1.6988,1.75
23,2,0.990834869295435,0.975961745259116,2.02,1.681,1.8
24,1,0.981654266767292,0.94922122735955,1.73,1.7046,1.82
24,2,0.975057893598855,0.942408919757243,1.77,1.6924,1.8
25,1,0.98681637602021,0.963940349346553,1.98,1.7277,1.84
25,2,0.980363980296377,0.944836880043949,1.94,1.6993,1.59
26,1,0.971318398574717,0.934541913036001,1.79,1.6628,1.72
26,2,0.988959485364287,0.974253054339781,1.65,1.5812,1.78
27,1,0.997306480961668,0.990828557051683,1.69,1.6864,1.69
27,2,0.978287708350247,0.952046304229841,1.83,1.7604,1.86
28,1,0.997812567902653,0.989187747061006,1.73,1.6933,1.83
28,2,0.989426806195739,0.983128036491519,1.73,1.6952,1.84
29,1,1.00529298281217,1.00786819193398,1.56,1.6629,1.64
29,2,1.00546554279617,1.00791405374672,1.62,1.5977,1.65
3,1,0.977726049795421,0.938855145552828,2,1.7075,1.64
3,2,0.9818589521146,0.953711735610516,2.03,1.7029,1.59
3,3,0.978287515965344,0.94023889075518,1.92,1.694,1.72
30,1,0.995148695415323,0.98154279373209,1.83,1.7205,1.61
30,2,0.996120125438719,0.990416330371555,1.84,1.6358,1.82
31,1,1.00029399908525,0.997197672161214,1.86,1.722,1.8
31,2,0.982678578436524,0.953521797100971,1.91,1.7065,1.86
32,1,0.993347315833298,0.987839376713878,2.01,1.6423,1.69
32,2,0.968703610587872,0.936450910204345,1.97,1.71,1.78
33,1,0.981999588533484,0.951750019989334,2.02,1.7393,1.81
33,2,0.967869674958867,0.920586313866649,2.19,1.6864,1.8
34,1,0.998907587218829,0.994508754712219,1.88,1.6888,1.65
34,2,0.961638475819856,0.897280233276679,2.04,1.682,1.62
35,1,0.98936834939943,0.975673101869967,1.94,1.6581,1.76
35,2,0.983374781925132,0.956501774043253,1.86,1.6947,1.8
36,1,0.975529750167238,0.927286776059421,2.04,1.7084,1.82
36,2,0.984569435043145,0.956139216557394,1.8,1.6391,1.76
37,1,0.983658546940303,0.957749445278107,1.74,1.6046,1.67
37,2,0.997924229513338,0.990479462939614,1.76,1.6864,1.67
38,1,0.972274648117994,0.925209034322067,1.94,1.6764,1.79
38,2,1.00356769569369,1.00281850856836,1.84,1.6983,1.78
39,1,0.992417403827069,0.979292358011764,1.68,1.7471,1.9
39,2,0.999365637337175,0.996952808519621,1.72,1.5821,2.06
4,1,0.977860335443082,0.947282235705647,2.09,1.6821,1.46
4,2,0.993151776764911,0.977319079040809,1.99,1.6846,1.62
4,3,0.98949215622968,0.970209217359612,1.97,1.6934,1.59
40,1,0.997203500528432,0.994589015409352,1.72,1.5745,1.78
40,2,0.998685253446136,0.995478063369185,1.74,1.4697,1.8
5,1,0.976186573768639,0.936475333715259,2.24,1.7463,1.59
5,2,0.991524435682418,0.979976841784909,2.11,1.7035,1.48
5,3,0.995074109895716,0.983115456399586,1.97,1.6858,1.59
6,1,0.983770749764382,0.964898091865456,2.11,1.7093,1.58
6,2,0.99243978617207,0.97752222359899,2.06,1.6853,1.66
6,3,0.987046364756212,0.959798054679808,2.02,1.7175,1.64
7,1,0.979210240517182,0.947639690782513,2.02,1.751,1.65
