"br","bc","kappa","phi","nll","status"
1,1,1.73,469085.670387948,604.546462203049,"ok"
2,1,1.85,369865.085650072,-71.1488975514712,"ok"
3,1,1.95,2574968.14852874,693.526961687319,"ok"
4,1,1.85,764765.467200203,378.511830930883,"ok"
5,1,1.95,400603.684499571,-458.196708672778,"ok"
6,1,1.89,424567.933853237,-160.782243397886,"ok"
7,1,1.96,829193.546770588,-51.3382813613553,"ok"
8,1,2,750786.961997456,-286.288222220981,"ok"
9,1,1.87,119282.337406838,-859.216584946292,"ok"
10,1,1.97,738102.649286349,-166.789338294242,"ok"
