"br","bc","kappa_std","kappa_avg","nll_std","nll_avg","delta_nll"
1,1,2.07,1.81,-5056.16395575454,-5182.79189702289,-126.627941268351
2,1,2.15,1.88,-5784.65234207532,-5931.03882331689,-146.38648124157
3,1,2,1.74,-5099.17380028297,-5208.54402363463,-109.370223351667
4,1,2.09,1.8,-5547.15083925941,-5702.7058838863,-155.55504462689
5,1,2.24,1.94,-7997.99639138828,-8114.84344757169,-116.847056183411
6,1,2.11,1.84,-8653.681360765,-8786.37135160895,-132.689990843952
7,1,2.02,1.76,-6015.24219519417,-6127.18421804672,-111.942022852556
8,1,2.11,1.86,-6949.42246112989,-7079.33340065365,-129.910939523761
9,1,2.01,1.73,-6032.04473803056,-6102.16651456707,-70.1217765365145
10,1,1.96,1.69,-6683.1453150555,-6778.16695991917,-95.0216448636638
11,1,2.11,1.83,-8115.20061355083,-8213.16410290399,-97.963489353162
12,1,1.85,1.61,-6297.24326965919,-6403.03510361245,-105.791833953263
13,1,2.02,1.75,-8950.2668505687,-9063.48743220732,-113.220581638612
14,1,1.96,1.73,-13951.6949870174,-14002.4777961891,-50.782809171651
15,1,2.15,1.87,-11378.2840867065,-11478.2739850816,-99.98989837509
16,1,2.09,1.83,-6995.06573520918,-7123.50710027161,-128.441365062434
17,1,1.98,1.71,-8073.15607049294,-8188.33360487322,-115.177534380273
18,1,1.78,1.54,-13306.3146597485,-13280.325910943,25.988748805481
19,1,1.86,1.6,-11247.209617294,-11301.4394743106,-54.2298570165876
20,1,2.32,2.02,-10559.1605640693,-10714.731232328,-155.57066825869
21,1,1.82,1.56,-9922.25897798252,-9938.16701875888,-15.908040776354
22,1,1.76,1.51,-12889.9449832448,-12902.9208637933,-12.9758805484744
23,1,1.95,1.69,-10517.6965654806,-10609.303871576,-91.6073060953277
24,1,1.73,1.51,-11420.9263718237,-11438.2183078092,-17.2919359855077
25,1,1.98,1.73,-11481.9944184633,-11563.8436817723,-81.8492633089918
26,1,1.79,1.54,-11956.5099535472,-11960.3223806053,-3.81242705812474
27,1,1.69,1.44,-14951.2582496387,-14956.9459572519,-5.68770761325868
28,1,1.73,1.52,-18033.8689024854,-18024.5748617055,9.29404077992513
29,1,1.56,1.37,-17802.2593234364,-17772.3560307854,29.9032926509317
30,1,1.83,1.57,-12837.9855694778,-12880.4820795081,-42.4965100303016
31,1,1.86,1.62,-15583.4805131641,-15538.4467975119,45.0337156521491
32,1,2.01,1.75,-18596.7633468174,-18655.5345303719,-58.7711835545706
33,1,2.02,1.77,-16127.923461393,-16192.7739877347,-64.8505263416591
34,1,1.88,1.62,-14116.899705405,-14152.1450359242,-35.2453305191957
35,1,1.94,1.68,-10941.9604428556,-10985.8395593897,-43.8791165341536
36,1,2.04,1.77,-8507.44632512613,-8584.06786723215,-76.6215421060188
37,1,1.74,1.48,-10390.5362894394,-10372.3144157615,18.221873677925
38,1,1.94,1.69,-16644.2107285689,-16689.1308158099,-44.9200872410074
39,1,1.68,1.46,-18308.6625779047,-18346.1071175758,-37.4445396711017
40,1,1.72,1.48,-21208.1518108112,-21223.0648574811,-14.9130466699571
1,2,1.89,1.64,-4387.2661121056,-4517.78083951111,-130.514727405505
2,2,2.15,1.88,-4936.01253025226,-5038.91428393807,-102.901753685801
3,2,2.03,1.75,-4462.12109062696,-4560.11845870754,-97.9973680805851
4,2,1.99,1.73,-4739.81353379233,-4853.46684488321,-113.653311090879
5,2,2.11,1.82,-5927.19452532608,-6067.25844315845,-140.063917832376
6,2,2.06,1.8,-4924.71165151089,-5067.79408787259,-143.082436361699
7,2,2.09,1.83,-6804.39883426802,-6908.97704156559,-104.578207297571
8,2,1.87,1.63,-4719.29148397439,-4826.67295428154,-107.381470307155
9,2,2.08,1.8,-7273.93254868132,-7417.97457128404,-144.04202260272
10,2,2.04,1.78,-7858.70295478242,-7929.79773518976,-71.0947804073367
11,2,1.83,1.57,-5644.06865328166,-5712.06004969616,-67.9913964144944
12,2,2.09,1.82,-6026.80711957251,-6157.2775016886,-130.470382116095
13,2,1.87,1.6,-5780.83125825724,-5869.73905376757,-88.9077955103276
14,2,1.85,1.62,-11378.8975127381,-11391.2982411218,-12.4007283837345
15,2,1.59,1.38,-17261.0179771912,-17262.0849773103,-1.06700011908833
16,2,1.92,1.68,-9610.85923692488,-9692.78579022635,-81.9265533014695
17,2,1.95,1.69,-8988.2494111289,-9052.60330157197,-64.3538904430752
18,2,1.58,1.38,-14455.3385158787,-14420.5793024624,34.7592134162769
19,2,2.25,1.97,-12121.3510456515,-12227.3988573384,-106.04781168692
20,2,1.95,1.69,-10506.0240249116,-10581.9009584301,-75.8769335185207
21,2,1.81,1.58,-13105.0360396607,-13153.4531812486,-48.4171415879246
22,2,1.97,1.72,-9202.07171350594,-9276.66007464001,-74.5883611340687
23,2,2.02,1.77,-10567.3301862289,-10658.5267212001,-91.1965349712264
24,2,1.77,1.55,-13046.2391527805,-13074.1171111845,-27.8779584039803
25,2,1.94,1.67,-7722.21315514247,-7804.58524814765,-82.3720930051786
26,2,1.65,1.42,-11074.8868522058,-11078.4800676732,-3.5932154674374
27,2,1.83,1.59,-16431.6212097701,-16486.2874707669,-54.666260996848
28,2,1.73,1.5,-19386.8473270657,-19384.3938856273,2.45344143844704
29,2,1.62,1.43,-18612.6478116638,-18628.2215186502,-15.5737069863535
30,2,1.84,1.6,-18311.4387388892,-18291.7887623925,19.6499764966138
31,2,1.91,1.65,-13034.7563417292,-12976.403647455,58.3526942741737
32,2,1.97,1.72,-18181.8605786163,-18200.9187810428,-19.0582024265459
33,2,2.19,1.93,-12005.540379823,-12119.7961270027,-114.255747179748
34,2,2.04,1.73,-9909.80491436114,-9925.34497185533,-15.5400574941887
35,2,1.86,1.62,-13245.4746195108,-13281.2252399311,-35.7506204202655
36,2,1.8,1.55,-11437.6172986353,-11442.9125994281,-5.29530079285905
37,2,1.76,1.53,-13011.5500513467,-13016.1204596503,-4.5704083036544
38,2,1.84,1.6,-16709.6990651396,-16761.9584782658,-52.2594131262013
39,2,1.72,1.48,-23730.3793244697,-23599.6052602553,130.774064214384
40,2,1.74,1.51,-24024.5168025076,-23996.0558968359,28.4609056717745
1,3,1.93,1.66,-3474.64686439873,-3556.58458427856,-81.937719879832
2,3,1.99,1.72,-3455.40610586249,-3574.27002751308,-118.863921650584
