"br","bc","kappa","phi","nll"
1,1,2.07,1235317537169801,-5056.16395575454
2,1,2.15,3819013929290013,-5784.65234207532
3,1,2,349367650163968,-5099.17380028297
4,1,2.09,1447645045227043,-5547.15083925941
5,1,2.24,7746937241855964,-7997.99639138828
6,1,2.11,594295388453177,-8653.681360765
7,1,2.02,345496159136555,-6015.24219519417
8,1,2.11,1176995244825010,-6949.42246112989
9,1,2.01,287202208126046,-6032.04473803056
10,1,1.96,90747042431086.8,-6683.1453150555
11,1,2.11,737515398089953,-8115.20061355083
12,1,1.85,14849315566438.8,-6297.24326965919
13,1,2.02,106500242477979,-8950.2668505687
14,1,1.96,4921736516921.87,-13951.6949870174
15,1,2.15,405415323398909,-11378.2840867065
16,1,2.09,810080890651354,-6995.06573520918
17,1,1.98,74240026826988.6,-8073.15607049294
18,1,1.78,255079170909.347,-13306.3146597485
19,1,1.86,2440231221181.87,-11247.209617294
20,1,2.32,11414293323349990,-10559.1605640693
21,1,1.82,2028841551359.8,-9922.25897798252
22,1,1.76,210566313586.483,-12889.9449832448
23,1,1.95,16316940664156,-10517.6965654806
24,1,1.73,221474742412.924,-11420.9263718237
25,1,1.98,18925074822948.6,-11481.9944184633
26,1,1.79,524303487727.822,-11956.5099535472
27,1,1.69,26204799924.8446,-14951.2582496387
28,1,1.73,15623369579.6604,-18033.8689024854
29,1,1.56,802385516.781064,-17802.2593234364
30,1,1.83,753837383374.681,-12837.9855694778
31,1,1.86,428875592785.712,-15583.4805131641
32,1,2.01,1863036965733.98,-18596.7633468174
33,1,2.02,5990515629567.9,-16127.923461393
34,1,1.88,1104145073147.87,-14116.899705405
35,1,1.94,11515305423762.9,-10941.9604428556
36,1,2.04,181574897925662,-8507.44632512613
37,1,1.74,400622016257.912,-10390.5362894394
38,1,1.94,1170334508632.94,-16644.2107285689
39,1,1.68,5696730411.21026,-18308.6625779047
40,1,1.72,3656035888.92611,-21208.1518108112
1,2,1.89,65301528582115.3,-4387.2661121056
2,2,2.15,5366977143747833,-4936.01253025226
3,2,2.03,769493588188936,-4462.12109062696
4,2,1.99,337665814356457,-4739.81353379233
5,2,2.11,1773295468678373,-5927.19452532608
6,2,2.06,1090050521297587,-4924.71165151089
7,2,2.09,874440583397310,-6804.39883426802
8,2,1.87,39979901093002.5,-4719.29148397439
9,2,2.08,606439246471879,-7273.93254868132
10,2,2.04,235518594859953,-7858.70295478242
11,2,1.83,13489490964542.2,-5644.06865328166
12,2,2.09,1194364254791468,-6026.80711957251
13,2,1.87,26120995483016.2,-5780.83125825724
14,2,1.85,1935570185880.86,-11378.8975127381
15,2,1.59,1713401998.96537,-17261.0179771912
16,2,1.92,13741451201422,-9610.85923692488
17,2,1.95,30127986866514.7,-8988.2494111289
18,2,1.58,4406030003.35268,-14455.3385158787
19,2,2.25,1769959076046775,-12121.3510456515
20,2,1.95,16393486994733.3,-10506.0240249116
21,2,1.81,473398930847.377,-13105.0360396607
22,2,1.97,39503590837486.7,-9202.07171350594
23,2,2.02,55688062834231.5,-10567.3301862289
24,2,1.77,236635731828.811,-13046.2391527805
25,2,1.94,41874387599067.1,-7722.21315514247
26,2,1.65,60366123431.5066,-11074.8868522058
27,2,1.83,178442108563.567,-16431.6212097701
28,2,1.73,9081818876.92799,-19386.8473270657
29,2,1.62,1711861452.20776,-18612.6478116638
30,2,1.84,100436550653.838,-18311.4387388892
31,2,1.91,2912448359384.93,-13034.7563417292
32,2,1.97,1078784228283.35,-18181.8605786163
33,2,2.19,640759524325391,-12005.540379823
34,2,2.04,103479682654904,-9909.80491436114
35,2,1.86,1095119891497.85,-13245.4746195108
36,2,1.8,772279672852.965,-11437.6172986353
37,2,1.76,200545586194.033,-13011.5500513467
38,2,1.84,190902615249.754,-16709.6990651396
39,2,1.72,1329843546.25629,-23730.3793244697
40,2,1.74,1692668140.18762,-24024.5168025076
1,3,1.93,192351339092298,-3474.64686439873
2,3,1.99,565129924827188,-3455.40610586249
3,3,1.92,163180671721487,-3439.60312732735
4,3,1.97,339508151812352,-3837.21239458726
5,3,1.97,217315560327025,-4949.90417394735
6,3,2.02,356536919694337,-5936.790258494
7,3,2.1,396469838305063,-9220.21370066168
8,3,1.94,86695052115257.7,-5907.27337084945
9,3,2.19,2118542891321352,-9023.14139116902
10,3,2.15,2929011016279312,-6446.37894416053
11,3,2.12,2081950832969928,-5969.8543768744
12,3,1.94,207654224801855,-3728.82047955701
13,3,2,183547258247095,-6704.4434697823
14,3,1.8,1420153455724.95,-9918.33869634656
15,3,1.71,212945905102.436,-10622.7729421432
16,3,1.99,79260754750312.3,-8354.40160550878
17,3,1.79,624015735323.457,-11522.2923499089
18,3,1.79,113419434934.74,-15774.7689139691
19,3,1.82,514548574604.365,-13343.8531030138
20,3,1.87,1444884377292.78,-13000.238279931
21,3,1.71,96721282432.5317,-12591.0494673165
22,3,2.06,341114266533603,-7822.1456064911
23,3,1.99,60439163334602.8,-9030.53951006042
24,3,1.81,2245894269264.2,-9222.07601228135
25,3,2,155793969104721,-7113.30421577228
26,3,2.04,154139724957129,-8915.98530610997
27,3,1.87,822037618993.6,-14406.8503454534
28,3,1.78,187497606404.053,-14073.9875415028
29,3,1.8,116844309945.908,-16147.5472486103
30,3,1.8,735201239824.425,-11560.3283274962
31,3,1.69,107566593133.621,-11429.3124309174
32,3,2.07,231032181947140,-9237.42058417782
33,3,1.84,228411592898.772,-16262.310871769
34,3,2.24,2295417187389995,-11031.655500277
35,3,2.16,979705920633119,-9620.11758500765
36,3,2.14,369816919612223,-11164.9851435916
37,3,1.92,3937731334595.97,-12727.8907287566
38,3,1.73,4660720170.81469,-21050.6059752663
39,3,1.8,20963611631.0411,-20432.3744463001
40,3,1.62,115464498.243223,-25337.4033650148
1,4,1.9,84420056226060.3,-4192.44736030271
2,4,1.85,26978120846366.8,-4808.14464396801
3,4,2.12,1754902323383785,-6396.05941256251
4,4,2.02,281921728907069,-6522.40221032548
5,4,2.06,588411012327932,-6462.3963790281
6,4,2.23,9323667064643168,-7094.48933954495
7,4,1.96,50894757490226.4,-8125.46532012745
8,4,2.08,688787383700577,-6956.37630735915
9,4,2.12,2792305245340164,-5237.71036764477
10,4,1.99,300480999623803,-5030.79392250365
11,4,2.2,13280915496987148,-4887.08382663794
12,4,2.01,278256237768736,-6110.96516793399
13,4,2.06,553357452340011,-6615.58165981031
14,4,2.09,364725646284958,-8985.24952993175
15,4,1.85,4689213015056.83,-9172.04965220412
16,4,1.93,20364840796243.7,-9074.95795082131
17,4,1.74,61901060435.9673,-15048.0340753956
18,4,1.97,19221554181560,-10998.6478377742
19,4,1.74,79804656315.6274,-14414.4469886645
20,4,1.51,2903118301.41906,-12340.4407303713
21,4,1.35,108942192.910895,-13283.2818517955
22,4,1.86,3899594588366.2,-10078.0727999936
23,4,1.95,89031156137502.2,-6285.92099857454
24,4,2.06,195353864499679,-9212.31345173418
25,4,2.39,38123836875509872,-10632.5083915271
26,4,1.86,6652762331988.56,-8745.87885571847
27,4,1.87,1996270635097.93,-12194.0491517203
28,4,1.73,121634119585.34,-12915.5582115553
29,4,1.69,84227127313.3379,-12039.3275732025
30,4,1.66,43838837185.216,-12321.7557383191
31,4,1.8,875298505906.698,-11125.3230508938
32,4,2.17,1140756292957303,-9682.81908129441
33,4,2.1,279417932440835,-10092.8427066253
34,4,2.02,22356571628649.4,-12843.4680675927
35,4,1.86,2794200325781.17,-10909.3894381711
36,4,1.81,351229582172.944,-13849.4909213406
37,4,1.66,11877824578.9718,-15578.5379999693
38,4,1.85,540758780559.932,-14559.2062324574
39,4,1.72,11923241723.719,-18259.9691930745
40,4,1.84,105500576472.043,-18188.7583158767
1,5,2,325557844220943,-5275.21192214634
2,5,2.11,1757353227672007,-5949.71742279378
3,5,2.13,2367324347403122,-6092.23043240192
4,5,1.91,53184753461577.3,-5790.24081241396
5,5,2.15,3556445772249723,-5962.30142862709
6,5,1.96,159764013227389,-5272.48422956411
7,5,1.89,38509358327922.9,-5704.38282566887
